event_id,report_date,source_platform,source_file,country,border_region,disease,host_species,cases,deaths,culling,neighboring_outbreaks_14d,livestock_density_index,trade_flow_index,transport_access_index,border_distance_km,rainfall_anomaly,temperature_anomaly,narrative_text,cross_border_alert,label_available,case_fatality_rate,outbreak_pressure,border_proximity_score
FMT001,2025-04-01,WOAH,示例疫情台账.csv,越南,老街省,非洲猪瘟,生猪,136.0,20.0,300.0,4.0,79.0,82.0,76.0,88.0,1.1,0.7,边境市场周边猪场出现异常死亡，运输链条在封控前持续运行，存在跨境传播风险。,1,True,0.14705882352941177,6.529418838262226,0.8240000000000001
FMT001,2025-04-01,WOAH,示例疫情台账.xls,越南,老街省,非洲猪瘟,生猪,136.0,20.0,300.0,4.0,79.0,82.0,76.0,88.0,1.1,0.7,边境市场周边猪场出现异常死亡，运输链条在封控前持续运行，存在跨境传播风险。,1,True,0.14705882352941177,6.529418838262226,0.8240000000000001
FMT001,2025-04-01,WOAH,示例疫情台账.xlsx,越南,老街省,非洲猪瘟,生猪,136.0,20.0,300.0,4.0,79.0,82.0,76.0,88.0,1.1,0.7,边境市场周边猪场出现异常死亡，运输链条在封控前持续运行，存在跨境传播风险。,1,True,0.14705882352941177,6.529418838262226,0.8240000000000001
FMT002,2025-04-03,FAO,示例疫情台账.csv,尼泊尔,蓝毗尼省,口蹄疫,牛,42.0,3.0,0.0,1.0,45.0,35.0,40.0,260.0,-0.2,0.1,病例集中于内陆牧场，已在短时间内完成封锁和免疫，跨境扩散可能性较低。,0,True,0.07142857142857142,4.454347296253507,0.48
FMT002,2025-04-03,FAO,示例疫情台账.xls,尼泊尔,蓝毗尼省,口蹄疫,牛,42.0,3.0,0.0,1.0,45.0,35.0,40.0,260.0,-0.2,0.1,病例集中于内陆牧场，已在短时间内完成封锁和免疫，跨境扩散可能性较低。,0,True,0.07142857142857142,4.454347296253507,0.48
FMT002,2025-04-03,FAO,示例疫情台账.xlsx,尼泊尔,蓝毗尼省,口蹄疫,牛,42.0,3.0,0.0,1.0,45.0,35.0,40.0,260.0,-0.2,0.1,病例集中于内陆牧场，已在短时间内完成封锁和免疫，跨境扩散可能性较低。,0,True,0.07142857142857142,4.454347296253507,0.48
示例疫情通报-0001,2025-04-05,地方监测材料,示例疫情通报.txt,老挝,博胶省,非洲猪瘟,生猪,67.0,11.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,老挝博胶省边境通道附近多个养殖点生猪出现异常死亡，确诊非洲猪瘟，现场活畜交易车辆往来频繁。,0,False,0.16417910447761194,4.219507705176107,1.0
示例疫情通报-0001,2025-04-07,监测简报,示例疫情通报.md,缅甸,掸邦,禽流感,家禽,93.0,25.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,缅甸掸邦多个边境乡镇出现家禽死亡聚集，交易市场和运输节点存在扩散隐患。,0,False,0.26881720430107525,4.543294782270004,1.0
FMT003,2025-04-08,National Portal,示例疫情记录.json,孟加拉国,锡尔赫特,PPR小反刍兽疫,山羊,88.0,17.0,120.0,3.0,66.0,63.0,61.0,140.0,0.5,1.0,多个乡镇羊群病例与市场交易和共牧活动相关，存在跨境传播风险。,1,True,0.19318181818181818,5.87493073085203,0.72
示例疫情材料-0001,2025-04-09,项目整理稿,示例疫情材料.pdf,不丹,萨姆策,新城疫,家禽,34.0,9.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,不丹萨姆策边境村庄发生小规模家禽新城疫疫情，目前已完成扑杀和消杀工作。,0,False,0.2647058823529412,3.5553480614894135,1.0
示例疫情材料-0001,2025-04-09,项目整理稿,示例疫情材料.docx,不丹,萨姆策,新城疫,家禽,34.0,9.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,不丹萨姆策边境村庄发生小规模家禽新城疫疫情，目前已完成扑杀和消杀工作。,0,False,0.2647058823529412,3.5553480614894135,1.0
